 COUNTY , TOTAL ORCH. VINE CROP , ALMOND , GRAPE , APPLE , APRICOT , AVOCADO , EXOTIC , CHERRY , NUTS OTHER , LEMON , CITRUS OTHER , DATE & FIG , FRUITS & NUTS UNSP. , KIWIFRUIT , NECTARINE , OLIVE , ORANGE , PEACH , PEAR , PISTACHIO , PLUM , WALNUT 
 Lake ," 12,667 ", -   ," 8,093 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , 14 , -   , -   , 39 , -   , -   ," 2,591 ", -   , -   ," 1,930 "
 Lassen , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Los Angeles , 386 , -   , 386 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Madera ," 279,355 "," 186,495 "," 62,378 ", -   , -   , -   , -   , 541 , -   , -   , -   ," 6,426 ", -   , -   , -   , 71 ," 2,980 ", 693 , -   ," 18,257 ", 522 , 991 
 Marin , 154 , -   , 154 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Mariposa , 77 , -   , 77 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Mendocino ," 19,580 ", -   ," 17,568 ", 171 , -   , -   , -   , -   , -   , -   , -   , -   , 199 , -   , -   , -   , -   , -   ," 1,643 ", -   , -   , -   
 Merced ," 163,723 "," 136,485 "," 14,113 ", -   , 276 , -   , -   , -   , -   , -   , -   , 710 ," 1,647 ", -   , -   , -   , -   ," 3,340 ", -   ," 3,142 ", 925 ," 3,083 "
 Modoc , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Mono , 13 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 13 , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Monterey ," 53,020 ", -   ," 50,967 ", -   , -   , 187 , -   , -   , -   ," 1,756 ", -   , -   , 111 , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Napa ," 43,900 ", -   ," 43,726 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 174 , -   , -   , -   , -   , -   , -   
 Nevada , 343 , -   , 343 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Orange , 97 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 97 , -   , -   , -   , -   , -   
 Placer ," 1,278 ", -   , 211 , 38 , -   , -   , -   , -   , -   , -   , 347 , -   , -   , -   , -   , -   , -   , 146 , 20 , -   , 38 , 479 
 Plumas , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Riverside ," 42,474 ", -   ," 11,513 ", 12 , 23 ," 4,629 ", 22 , 56 , -   ," 8,573 "," 9,991 "," 3,357 ", 441 , -   , -   , -   ," 3,717 ", 140 , -   , -   , -   , -   
 Sacramento ," 41,123 ", -   ," 32,831 ", -   , -   , -   , -   ," 1,337 ", -   , -   , -   , -   , 82 , -   , -   , -   , -   , -   ," 6,485 ", -   , -   , 389 
 San Benito ," 7,234 ", -   ," 4,483 ", 180 , 757 , -   , -   , 649 , -   , -   , -   , -   , 279 , -   , -   , 72 , -   , -   , -   , -   , -   , 814 
 San Bernardino ," 4,336 ", -   , 431 , 360 , -   , 163 , -   , -   , -   , 154 , 432 , -   , 91 , -   , -   , -   ," 2,609 ", -   , -   , 95 , -   , -   
 San Diego ," 37,088 ", -   , 984 , 267 , -   ," 15,023 ", 320 , -   ," 2,238 "," 5,343 "," 3,435 ", -   ," 1,016 ", -   , -   , -   ," 8,463 ", -   , -   , -   , -   , -   
 San Francisco , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 San Joaquin ," 278,869 "," 100,836 "," 108,237 "," 2,857 "," 1,134 ", -   , -   ," 28,166 ", -   , -   , -   , -   , 515 , -   , -   ," 2,289 ", -   ," 2,000 ", 232 , -   , -   ," 32,602 "
 San Luis Obispo ," 46,813 ", -   ," 37,508 ", -   , -   ," 4,487 ", -   , -   , -   ," 1,948 ", -   , -   ," 1,473 ", -   , -   , -   , 322 , -   , -   , -   , -   ," 1,075 "
 San Mateo , 231 , -   , 154 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 76 , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Santa Barbara ," 29,764 ", -   ," 21,161 ", -   , -   ," 5,096 ", -   , -   , -   ," 1,569 ", -   , -   ," 1,938 ", -   , -   , -   , -   , -   , -   , -   , -   , -   
 Santa Clara ," 3,199 ", -   ," 1,759 ", -   , 278 , -   , -   , 843 , -   , -   , -   , -   , 209 , -   , -   , -   , -   , -   , -   , -   , -   , 108 
 Santa Cruz ," 2,590 ", -   , 708 ," 1,670 ", -   , -   , -   , -   , -   , -   , -   , -   , 212 , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Shasta , 703 , -   , 114 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 589 
 Sierra , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Siskiyou , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Solano ," 15,242 "," 5,279 "," 3,890 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , 705 , -   , -   , 96 , -   , -   , -   , -   , 369 ," 4,903 "
 Sonoma ," 60,303 ", -   ," 58,469 "," 1,584 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 251 , -   , -   , -   , -   , -   , -   
 Stanislaus ," 320,554 "," 263,954 "," 12,436 ", 663 ," 6,447 ", -   , -   ," 3,944 ", -   , -   , 721 , -   ," 5,886 ", -   , -   , -   , -   ," 7,933 ", -   , -   , -   ," 18,570 "
 Sutter ," 48,134 "," 10,165 ", -   , -   , -   , -   , 52 , -   , -   , -   , -   , -   , -   , 84 , -   , 881 , -   ," 10,742 ", -   , -   ," 10,613 "," 15,597 "
 Tehama ," 40,013 "," 17,068 ", 246 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 5,846 ", -   , -   , -   , 118 ," 3,903 "," 12,832 "
 Trinity , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Tulare ," 418,459 "," 81,383 "," 65,243 ", -   , 805 , -   ," 6,878 "," 3,357 ", 923 ," 9,890 "," 32,838 ", -   , 390 ," 2,387 "," 7,712 "," 6,958 "," 125,222 "," 14,801 ", 185 ," 30,787 "," 7,678 "," 21,022 "
 Tuolumne , 186 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 186 , -   , -   , -   , -   , -   , -   , -   , -   , -   
 Ventura ," 36,983 ", -   , -   , -   , -   ," 16,084 ", -   , -   , -   ," 14,613 "," 3,953 ", -   , 615 , -   , -   , -   ," 1,717 ", -   , -   , -   , -   , -   
 Yolo ," 58,934 "," 34,532 "," 9,633 ", -   , -   , -   , -   , -   , -   , -   , -   , -   ," 3,401 ", -   , -   ," 2,194 ", -   , -   , -   , -   ," 1,193 "," 7,981 "
 Yuba ," 15,963 ", 884 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 726 , 390 , -   , -   , -   ," 2,505 ", -   , -   ," 5,041 "," 6,416 "
 Other ," 36,377 "," 1,104 "," 3,186 "," 2,092 ", 258 ," 1,099 "," 12,563 ", 127 ," 1,578 ", 704 ," 4,614 "," 1,862 "," 1,071 ", 126 , 438 ," 1,009 ", 193 ," 3,146 ", 177 , 568 , 462 , -   
 Total ," 3,675,496 "," 1,656,927 "," 924,672 "," 10,962 "," 12,670 "," 46,769 "," 24,087 "," 50,765 "," 4,739 "," 53,034 "," 111,261 "," 12,355 "," 35,582 "," 3,900 "," 11,693 "," 25,473 "," 228,295 "," 60,469 "," 12,916 "," 153,464 "," 47,782 "," 187,679 "
"
",,,,,,,,,,,,,,,,,,,,,,
